Tamara Grbusic::  You can start whenever you'd like.
Babak Armajani::  So we got this list. There were about... fifty names on it. We finished up the plan. It was fifty pages and it was, y’know, by our standards, it was a polished document with the- everything from engineering to radio drama to news to music, etc. So, we had the names and addresses and we sat in the Smith Lounge and stuffed manila envelopes with these plans and with a letter to each of these people. We didn’t hear anything. And- that would’ve been in the fall of ’67... and didn’t hear- didn't hear anything.
Babak Armajani::  And then, one day I got a letter from Fairchild Semiconductor, and said, “Oh, what’s that?” It was from this guy, and he said he had seen the plans and it looked interesting. It looked like a good idea, but our engineering was all wrong and this and that. We should do this and that, and so forth. So, you know, call, so I called him and I talked to him and he told me more, and he kind of got engaged in it.
Babak Armajani::  He said, “Well, I can’t send you guys $3,000, you know, 'cause who- you’re not a 501 c 3, or- You know. I can’t just give you money. Maybe I could give it to the College but I haven’t given to the College because I was estranged from the College and you need an FCC license and that’s gonna take a long time, and blah blah blah.” But he said, “But here’s what I’ll do so that you could get some action going at the College. I’ll send you the- I’ll send the equipment to you.”
Babak Armajani::  And so... and this guy’s name was Robert Noyce, whose nephew and grandnephew I just saw moments ago. And so- and the list that we had gotten was not a list of donors. It was a list of people that they thought should be donors but weren’t, you know, that they were trying to hustle. And so- I didn’t know who Robert Noyce was, and I didn’t know what Fairchild Semiconductor was or anything like that, back then. So, then boxes started arriving. Big boxes started arriving at the post office down here. And Ernie the postman, who was a character, a wonderful interaction with students, kept saying, “Oh, you got another box.”
Babak Armajani::  And so we started putting the boxes in.. all over in Smith because we had no place to secure them- and in these boxes was brand new, incredible equipment like, Crown tape decks which are like the cream of recording technology back then and a big control board, y’know, a master control board, and transmitter and all this stuff, and it was all coming from Fairchild. And it- but, we had no radio stations or license or a place to put it or anything.
Babak Armajani::  So then, as Noyce had suggested, I went then to President Leggett again and I told him about this. And I said, “Y'know, we got this guy and he’s,” I didn’t tell him about stealing the list or anything, but, “and he’s interested and he’s sending us this stuff.” And he said, “Really? Oh, let me look into it.” He went and he talked to Ernie, because Ernie told me, and so then he knew it was real. Then he wanted to see it and then we showed all the stuff to him.
Babak Armajani::  So he said, “Who’d you get?” and I said, “I got it from this guy at Fairchild Semiconductor.” Of course, he knew who it was. He said, “Oh, is that Bob Noyce?” I said, “Yeah.” He said, “Oh, well we’ve been trying to interest him and he has had no interest in the college,” and, y'know, at that time. So, they were- and then they got Mr. Lambie and Mr. Lambie came and took- of course, he was real interested from a development point of view. And so, suddenly there was a thawing of the relationship and there was, “Well, we can, maybe we can find a place, and we could put a station in if we can get the license,” and all that stuff.
Babak Armajani::  So then we started in earnest. And we applied for, and we got the license about a year later. And they found a spot for us in an upper level of Darby Gym, which used to be where the Rosenfield Center is. It was an out-of-the-way place, let’s put it that way. But, it was really nice, and they built it out and there were big cabinets for all the records, which was the medium that we used back then. We got, there was an antenna that was erected right next to Darby Gym, and we got the FCC license.
Babak Armajani::  And... Bob Noyce was our benefactor and godfather, and kind of advisor, and he came through one time on his Learjet. He lived in California and he was going to New York for something, and he called and he said, “I’m gonna stop at Grinnell. Come out to the airport.” So I went out to the airport, this jet comes down. We shook hands, gave him a little update on what was happening, and of course I was instructed from the President and the Development Director to give him all these messages and tell him about the College’s capital improvement plan, you know, that kind of stuff. So I dutifully did that. And later, it resulted I think in part in him getting interested in Grinnell and the rest of that is history.
Babak Armajani & Tamara Grbusic::  But anyway, we went on the air in the spring of my senior year. That was the beginning of KDIC.
