Kathryn Vincent::  Start out with your name, city you're currently living in, and your class year.
Kathryn Vincent & Anne Hruska Parsons::  Again, as a History- well, as a History Major, I suspect that the Palmers, the Morrison Accomatures and Sabine’s and all the rest of them are- that we carried around on our bookshelves for years- were the ones that were most influential.
Kathryn Vincent & Anne Hruska Parsons::  Was there a class that you remember fondly outside of your History Major?
Kathryn Vincent & Anne Hruska Parsons::  Hmm… Well, we did- Sam Baron, who we just bumped into in the Union, started a Russian class, and we did- I had a semester of Russian or two and. It wasn’t ever a full major at that point, and I was able to take some Greek, and I think that was a real- Taking any kind of language, even though it was only a semester or two of it, was much of a broadening and an intellectual experience.
Kathryn Vincent & Anne Hruska Parsons::  What kind of memories or images do you have of the town of Grinnell during your time?
Kathryn Vincent & Anne Hruska Parsons::  We didn’t have time to drive around this time, but I still can conjure up the Poweshiek Bank.
Kathryn Vincent & Anne Hruska Parsons::  Mhm.
Kathryn Vincent & Anne Hruska Parsons::  And there was an old music store across the street, and of course, the depot, which we still traveled on the train--
Kathryn Vincent & Anne Hruska Parsons::  Oh, cool.
Kathryn Vincent & Anne Hruska Parsons::  --and arrived at the depot, which is now a restaurant, right?
Anne Hruska Parsons & Kathryn Vincent::  And the Monroe Hotel was there... and I remember the big deal was to go downtown and have giant sundaes at some ice cream store. I don’t--
Anne Hruska Parsons & Kathryn Vincent::  Was it Cunningham’s?
Anne Hruska Parsons & Kathryn Vincent::  No, that was the drug store.
Anne Hruska Parsons & Kathryn Vincent::  That was the drug store.
Anne Hruska Parsons & Kathryn Vincent::  The drug store, right. There was another one that was just an ice cream store and there was a huge banana split- four or five or six people would eat it , so.. And I don’t remember what the name of it was.
Kathryn Vincent & Anne Hruska Parsons::  How has Grinnell, the town, college, changed since you were a student?
Kathryn Vincent & Anne Hruska Parsons::  Well, the college has kept up with all of the changes, and as I said, we’ve been involved in academia since then. I have as well, and... everything has changed in education, so that- and obviously Grinnell is on the cutting edge of that as far as diversity, as far as technology, and of course, the buildings are incredible! The dorms have not changed, but the academic and- buildings are spectacular, and the town is trying to keep up, I think.
Kathryn Vincent & Anne Hruska Parsons::  Hm.
Kathryn Vincent & Anne Hruska Parsons::  Describe something that is no longer available on campus that was meaningful to you, whether it’s a building, or a program, or activity you participated in.
Kathryn Vincent & Anne Hruska Parsons::  Hmmm… I’m not sure that there would be… I- there are memories of things like the old women’s gym and things that we did there, but I don’t know that there is anything that I missed. Is that what the question was?
Kathryn Vincent & Anne Hruska Parsons::  Mhm.
Kathryn Vincent & Anne Hruska Parsons::  Yeah, I don’t know. I don’t know whether the personal contact is still there, which I said was very important to us. I don’t know if the students have that today or whether they all go on their own ways a little bit more. I doubt it; I suppose they get together.
Kathryn Vincent & Anne Hruska Parsons::  Yeah.
Kathryn Vincent & Anne Hruska Parsons::  Yeah, yeah.
Kathryn Vincent & Anne Hruska Parsons::  There’s still some floor bonding.
Kathryn Vincent & Anne Hruska Parsons::  Good! Good.
Kathryn Vincent & Anne Hruska Parsons::  Describe one of your favorite places on campus- some place you loved to study, or hang out with friends, or anything like that.
Kathryn Vincent & Anne Hruska Parsons::  I think just the greenness and the openness of the campus, and... That- walking from the South Campus to the classrooms, it was just a very peaceful and wholeness-type of setting, which was not a specific place, but it was good.
Kathryn Vincent & Anne Hruska Parsons::  Generally, like...
Kathryn Vincent & Anne Hruska Parsons::  Yeah.
Kathryn Vincent & Anne Hruska Parsons::  Very cool, very cool.
Kathryn Vincent & Anne Hruska Parsons::  If you knew then what you know now, what would you have done differently during your time at Grinnell? If anything.
Kathryn Vincent & Anne Hruska Parsons::  I don’t think so. I don’t think that there would be anything that would be different. I think the growing, the exploratory part of it, is all part of growing up, and you wouldn’t want to miss out on any of that, I think.
Kathryn Vincent & Anne Hruska Parsons::  Alright.
Kathryn Vincent & Anne Hruska Parsons::  And it seems like you met your spouse at Grinnell, correct?
Kathryn Vincent & Anne Hruska Parsons::  Yeah.
Kathryn Vincent & Anne Hruska Parsons::  Describe how you met and fell in love.
Kathryn Vincent & Anne Hruska Parsons::  I wonder what he said... Actually, I think- we both came from the same town but didn’t know each other. We were in different high schools, came- we knew each other when we came here, and I think it was probably our junior year, there-
Anne Hruska Parsons & Kathryn Vincent::  We had Student Council Conventions for elections of the Student Governing Boards- I don’t know if that was true- but it was a Student Council Convention, and he was a floor manager, and it was during a political part of the country’s history as well and I think I was very impressed with his political prowess and that sort of got me interested, and...
Anne Hruska Parsons & Kathryn Vincent::  Cool.
Anne Hruska Parsons & Kathryn Vincent::  And then we both went to the Washington Semester Program together.
Anne Hruska Parsons & Kathryn Vincent::  Ah.
Anne Hruska Parsons & Kathryn Vincent::  So that was…
Anne Hruska Parsons & Kathryn Vincent::  Cherry on top, right? Very cool.
Kathryn Vincent & Anne Hruska Parsons::  How would you compare the students of today with your classmates?
Kathryn Vincent & Anne Hruska Parsons::  I’d like to know the answer to that- I really would! We didn’t get a chance to talk to students today, but I’m very impressed with the ones that we have had a chance to interact with, and based on what was shared with us as part of the Reunion, I’m very impressed with what’s going on and that’s why we're still part of the Grinnell family.
Kathryn Vincent & Anne Hruska Parsons::  Very cool.
Kathryn Vincent & Anne Hruska Parsons::  You said you were a History Major-- if you were writing a history of Grinnell College, what would you include from your years here?
Kathryn Vincent & Anne Hruska Parsons::  I think that, again, there is a piece that Joe Wall wrote that really, was delivered in ’83, that sort of summarizes this whole transitional period that we were part of and what had changed, and I think our generation, my generation is sort of on a cusp thing and things were just changing. We were part of the dull generation and things started changing with us, and- with our generation- and I think it moved from a very quiet and small, inward looking sort of institution to a “We knew we were good,” and they took it from there.
Kathryn Vincent & Anne Hruska Parsons::  Well, that’s it for questions. If you have any memories or statements you want to say for the record?
Kathryn Vincent & Anne Hruska Parsons::  No, I think that your questions were quite inclusive.
Kathryn Vincent & Anne Hruska Parsons::  Okay!
Kathryn Vincent & Anne Hruska Parsons::  I hope this is good and I’m anxious to see the results!
Kathryn Vincent & Anne Hruska Parsons::  Yeah, me too!
Kathryn Vincent & Anne Hruska Parsons::  Yeah, right?
Kathryn Vincent & Anne Hruska Parsons::  I'll finish- I'll have you say your name and class year one more time.
Kathryn Vincent & Anne Hruska Parsons::  Anne Hruska Parsons, 1958.
Kathryn Vincent & Anne Hruska Parsons::  Alright.
