Ben Doehr::  Could you say a few words to make sure we have good levels?
Howard Ohline::  It was a small, Quonset hut-type building, that... It would have been, oh, maybe 100 yards in front of Burling Library. It was a place where you danced; it was a place where you had a coffee shop—drank coffee and sandwiches. It had a place where there were private rooms upstairs where couples often went up to enjoy themselves.
Howard Ohline::  And it was called the Student Union I believe. Yeah, so, okay. That was, in terms of-- because that was really kind of the center of social activity, but that’s not to say that my dorm wasn’t a place where I really enjoyed. I really-- because the basement of the dorm had a rec room which had a TV set in it, and no one at that time had a TV in their room.
Howard Ohline::  No one had electronic-- I mean, there was only.. No one had a telephone in their room. There was only one telephone on the floor and so, in the evening, either after meals or before or after studying, people would congregate to watch TV. So that was also a very enjoyable place to be.
Howard Ohline & Ben Doehr::  But, there was a great deal of intramural sports. I don’t know if they still have intramural sports.
Howard Ohline & Ben Doehr::  We have Ultimate Frisbee and--
Howard Ohline & Ben Doehr::  Well, we often-- you know, we were always at the Darby Gym playing intramural basketball; on the field playing intramural softball. So there was, you know, many different places doing many different things that were very enjoyable in my experience at Grinnell.
Howard Ohline & Ben Doehr::  Excellent.
Ben Doehr & Howard Ohline::  So, did you two meet at Grinnell?
Ben Doehr & Howard Ohline::  Yes.
Ben Doehr & Howard Ohline::  Do you wanna describe how you guys met?
Ben Doehr & Howard Ohline::  Well, I was introduced to my wife, Katherine, outside of ARH by a mutual friend who was female, who I had dated, and who knew Katherine and she introduced us.
Ben Doehr & Howard Ohline::  So you guys had-- did you guys have classes together, or... how'd you get together?
Ben Doehr & Howard Ohline::  No, no. Never had classes together.
Howard Ohline & Ben Doehr::  She’s two years behind me, class of ’60. We dated pretty consistently from the winter of ’56-’57 until I graduated, and then after she graduated, we got married. So, the fullness of my life was shaped not only by the classroom, but by social activities.
Howard Ohline & Ben Doehr::  M'kay.
Ben Doehr & Howard Ohline::  So, if-- anything that I’m missing, that you'd like to tell a story about? Your favorite party at the campus? Your wildest story?
Ben Doehr & Howard Ohline::  Well, I don’t have any wild stories.
Howard Ohline::  One of my-- Well, I-- I worked in the dining room as a waiter throughout most of my career, a work-study program, which was also very enjoyable because you interacted with your fellow students on a different level in a different way.
Howard Ohline::  And I also worked on what was at that time called the “paint crew.” That was a group of men, students, who worked with a staff person to paint various buildings inside and out during the year and then we worked through the summer and I got to know many of my very good friends on that paint crew, working in the summer, living in the Union.
Howard Ohline & Ben Doehr::  We lived in the rooms upstairs and they fed us breakfast and meals in the coffee room and we spent the entire day working on various buildings around the campus. That was a very memorable experience because I learned many things that I didn’t know about the skill of painting. So, I enjoyed that too.
Howard Ohline & Ben Doehr::  M'kay.
Ben Doehr & Howard Ohline::  So, any parting advice for me? I’m going into my third year at Grinnell College. I’m a Chemistry and Economics double major. So, based on that, what would you tell a current Grinnell student about your time, life and place, anything Grinnell taught you?
Ben Doehr & Howard Ohline::  Well, I mean, the intensity of the academics was very high. There were some students that, like all students, weren’t very intense and weren’t very involved.
Howard Ohline::  But, in the hist-- Well, let me put it this way: I was a History major in a group in which I would believe that almost close to a dozen of the men and women, but mostly men, ended up teaching History in universities.
Howard Ohline::  My career-- I left here and got my Master’s and Ph.D. from the University of Missouri and I taught History at Temple University for my entire life. I mean, I retired there.
Howard Ohline::  My friends have taught at... well, Tutson Ageta taught at the University of Illinois. Lynn Parsons taught at Binghamton in New York. Bob McJimsey taught at Colorado College. George McJimsey, who is here today and going to give a speech on Harry Hopkins, taught at Ames.
Howard Ohline::  I think what Grinnell really does very well, from my experience, and from what I sense subsequently, is they really do prepare a student who has a professional goal in mind to be successful in that goal.
Howard Ohline & Ben Doehr::  So I don't-- your major is Chemistry and--?
Howard Ohline & Ben Doehr::  Chemistry and Economics.
Howard Ohline & Ben Doehr::  Why did you put those two together?
Howard Ohline & Ben Doehr::  I like them both, frankly.
Howard Ohline & Ben Doehr::  Yeah, because one is theoretical and one is, well, also theory, but it’s also very practical.
Howard Ohline & Ben Doehr::  Do you see any way you can put those together professionally or do you have a conception of how you’re going to put those together?
Howard Ohline & Ben Doehr::  My theory is that I’m going to be a... work in a finance division of a chemical firm.
Howard Ohline & Ben Doehr::  Oh, alright. Okay. Alright.
Howard Ohline::  You know, my brother who graduated in ’56 went on to get his Ph.D. in Chemistry from Northwestern. Again, you know, almost all of my colleagues or friends followed that pattern. Now I’m sure there are some who didn't, but many of them did.
Howard Ohline::  He, as soon as he graduated from Northwestern... at that time-- now, this was the late ‘50s --all of the chemical companies contacted him. In other words, they’re on their database, what-- however they kept it as to who was coming out of the various universities with a Ph.D. in Chemistry. They contacted him.
Howard Ohline::  So he first started working as a chemist for Mallinckrodt in Saint Louis. But, he felt confined in the corporate world as a chemist and thus, went into the academic world where he did-- could do and pursue his own research.
Howard Ohline::  He felt that he was trapped in a corporate world that was telling them-- telling him that they wanted something done which he had no interest in at all. And so he left the corporate world to go into the academic world.
Howard Ohline & Ben Doehr::  But that’s interesting! You see yourself working in the economics-- or in... Do you see yourself going on in business school?
Howard Ohline & Ben Doehr::  Possibly.
Howard Ohline & Ben Doehr::  Yeah, because business... business schools and economic programs are considerably different...
Howard Ohline & Ben Doehr::  Mhm.
Howard Ohline & Ben Doehr::  --in universities, at least.
Howard Ohline & Ben Doehr::  Well, we’ll see where life takes me.
Howard Ohline & Ben Doehr::  Okay. That's good. Well, that’s what a univer-- that's what a good college career does. It sorts out.
Howard Ohline::  Now one of my colleagues, or, one of my friends, who also was a History major, we were talking last night, and he indicated that he came with the intention of going to medical school and his first semester took a history class from Professor Joseph Wall, ended up majoring in History and pursuing that career.
Howard Ohline & Ben Doehr::  So, you learn in many ways, very quickly, at a good school where you’re introduced analytically to disciplines in a very solid, professional way. You learn what you don’t want to do as much as what you do want to do.
Howard Ohline & Ben Doehr::  Mhm.
Howard Ohline & Ben Doehr::  And... so there are people who changed as they went through.
Howard Ohline & Ben Doehr::  Yeah. I’ll keep that in mind. Life is open.
Howard Ohline & Ben Doehr::  Sure. Oh, yeah, right. Right.
Howard Ohline & Ben Doehr::  And in fact, when I first gradua-- when I did graduate, I thought: "Well, I would like to go into law." And I went to law school, Washington University law school in St. Louis ,and within two months I realized that I really was not very interested in the, sort of, minutiae of most types of law. And so, I left and went back into graduate school and history.
Howard Ohline & Ben Doehr::  Mhm.
Ben Doehr & Howard Ohline::  Oh, anything else you'd like to add?
Ben Doehr & Howard Ohline::  Well, let’s see… No. We always enjoy coming back. This is my 55th reunion, I was here at my 50th; I was here at my 40th.
Howard Ohline & Ben Doehr::  It is a wonderful place to come back to and see-- although the number of people coming back has reduced in my class. I don’t know if... anything more.
Howard Ohline & Ben Doehr::  Okay. Well, it’s been a pleasure and thank you!
Howard Ohline & Ben Doehr::  Okay.
